Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-08-11,Banco de Servicios Financieros S.A.,Clase 17,ARS,450000000,General,0.2845,18.3,450.0000,FINANCIERO
2016-08-11,Micro Lending S.A.,Clase II,ARS,60000000,PyME,0.3025,36.5,60.0000,FINANCIERO
2016-08-12,Banco Hipotecario S.A.,Clases XXXVIII,ARS,145200000,General,0.2775,18.3,145.2000,FINANCIERO
2016-08-12,Banco Hipotecario S.A.,Clase XXXIX,ARS,343241000,General,0.2824,36.5,343.2410,FINANCIERO
2016-08-16,Ribeiro S.A.C.I.F.A. e I.,Clase P Serie I,ARS,16170000,General,0.3000,120.1,16.1700,COMERCIO
2016-08-16,Ribeiro S.A.C.I.F.A. e I.,Clase P Serie II,USD,3496500,General,0.0700,120.1,51.3000,COMERCIO
2016-08-17,Rombo Compañía Financiera S.A.,Serie 32,ARS,83571426,General,0.2783,18.3,83.5714,FINANCIERO
2016-08-17,Rombo Compañía Financiera S.A.,Serie 33,ARS,216428574,General,0.2837,36.5,216.4286,FINANCIERO
2016-08-22,Ovoprot International S.A.,individual,ARS,50000000,PyME,0.2956,36.5,50.0000,INDUSTRIA
2016-09-01,IRSA Inversiones y Representaciones S.A.,Clase VII,ARS,384233262,General,0.2687,36.5,384.2333,CONSTRUCCION_E_INFRAESTRUCTURA
2016-09-01,IRSA Inversiones y Representaciones S.A.,Clase VIII,USD,184507138,General,0.0700,36.5,2746.3000,CONSTRUCCION_E_INFRAESTRUCTURA
2016-09-05,Tarshop S.A.,Clase I,ARS,204033333,General,0.2850,18.2,204.0333,FINANCIERO
2016-09-05,Tarshop S.A.,Clase II,ARS,67360000,General,0.2861,30.4,67.3600,FINANCIERO
2016-09-14,Banco Santander Río S.A.,Clase XIV,ARS,239000000,General,0.2544,18.2,239.0000,FINANCIERO
2016-09-14,Banco Santander Río S.A.,Clase XV,ARS,505000000,General,0.2634,36.5,505.0000,FINANCIERO
2016-09-20,Grimoldi S.A.,Serie VII,ARS,100000000,General,0.2725,18.2,100.0000,COMERCIO
2016-09-20,John Deere Credit Compañía Financiera S.A.,Clase VIII,USD,18430000,General,0.0600,24.3,279.4000,FINANCIERO
2016-09-21,Gpat Compañía Financiera S.A.,Serie XXIV,ARS,200000000,General,0.2395,12.2,200.0000,FINANCIERO
2016-09-22,Tarjeta Naranja S.A.,Clase XXXV Serie I,ARS,225611111,General,0.2600,18.2,225.6111,FINANCIERO
2016-09-22,Tarjeta Naranja S.A.,Clase XXXV Serie II,ARS,774388889,General,0.2674,48.7,774.3889,FINANCIERO
2016-09-23,Toyota Compañía Financiera de Argentina S.A.,Clase 20,ARS,170000000,General,0.2551,24.3,170.0000,FINANCIERO
2016-09-26,Inversora Eléctrica de Buenos Aires S.A.,Serie E,USD,72302129,General,0.0650,76.1,1099.5000,ENERGIA
2016-09-26,Inversora Eléctrica de Buenos Aires S.A.,Serie F,USD,2697871,General,0.0650,76.1,41.0000,ENERGIA
2016-09-29,Plural Cooperativa de Crédito Consumo y Vivienda Ltda.,Serie I,ARS,40000000,PyME,0.2844,33.8,40.0000,FINANCIERO
2016-10-05,Dietrich S.A.,Clase I Serie I,ARS,100000000,General,0.2750,18.2,100.0000,COMERCIO
2016-10-06,Banco Hipotecario S.A.,Clase XL,ARS,6078320000,General,0.2494,39.6,6078.3200,FINANCIERO
